Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dressed_weight,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,gonad_weight,Instrument,lat_lon,Length,Library Name,LibraryLayout,LibrarySelection,LibrarySource,liver_weight,maturity,Organism,Platform,ReleaseDate,Sample Name,sex,ship,SRA Study,Station,store_cond,Strain,tissue,triP,weight
SRR16894126,7,WGS,125,767147125,PRJNA779096,SAMN23011726,Model organism or animal,367355961,CORNELL UNIVERSITY,2011-05-10,public,"fastq,sra",ncbi,ncbi.public,2.904,SRX13086789,Greenland,North America,Greenland: Buksefjord,0.36,Illumina HiSeq 2500,63.76 N 51.3 W,73,BUK2011_008_14247X2_1_se,SINGLE,RANDOM,GENOMIC,0.078,7,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,BUK2011_008,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,3.8
SRR16894127,5,WGS,125,313925750,PRJNA779096,SAMN23011811,Model organism or animal,160956579,CORNELL UNIVERSITY,2008-02-08,public,"fastq,sra",ncbi,ncbi.public,1.26,SRX13086788,Greenland,North America,"Greenland: Bredefjord\, Narsaq",0.0197,Illumina HiSeq 2500,not collected,56,NAR2008_029_14247X198_6_se,SINGLE,RANDOM,GENOMIC,not collected,3,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,NAR2008_029,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,1.4
SRR16894128,5,WGS,302,640504250,PRJNA779096,SAMN23011741,Model organism or animal,298352990,CORNELL UNIVERSITY,2011-05-10,public,"fastq,sra",ncbi,ncbi.public,0.915,SRX13086787,Greenland,North America,Greenland: Buksefjord,0.185,NextSeq 500,63.76 N 51.3 W,48,BUK2011_056_55101_7_pe,PAIRED,RANDOM,GENOMIC,0.045,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,BUK2011_056,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,1.245
SRR16894129,5,WGS,125,507080250,PRJNA779096,SAMN23011817,Model organism or animal,252427907,CORNELL UNIVERSITY,2008-02-08,public,"fastq,sra",ncbi,ncbi.public,1.36,SRX13086786,Greenland,North America,"Greenland: Bredefjord\, Narsaq",0.0082,Illumina HiSeq 2500,not collected,60,NAR2008_043_14247X195_6_se,SINGLE,RANDOM,GENOMIC,0.0331,2,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,NAR2008_043,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,1.48
SRR16894130,not collected,WGS,125,272397500,PRJNA779096,SAMN23011860,Model organism or animal,126486345,CORNELL UNIVERSITY,2010-05-12,public,"fastq,sra",ncbi,ncbi.public,3.09,SRX13086785,Greenland,North America,Greenland: Uummannaq,0.0553,Illumina HiSeq 2500,not collected,74,UUM2010_055_14247X194_6_se,SINGLE,RANDOM,GENOMIC,0.3528,8,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,UUM2010_055,male,not collected,SRP345309,not collected,not collected,not applicable,fin clips,not collected,3.77
SRR16894131,6,WGS,125,3041068625,PRJNA779096,SAMN23011810,Model organism or animal,1491697715,CORNELL UNIVERSITY,2008-02-08,public,"fastq,sra",ncbi,ncbi.public,2.26,SRX13086784,Greenland,North America,"Greenland: Bredefjord\, Narsaq",0.1007,Illumina HiSeq 2500,not collected,68,NAR2008_028_14247X192_6_se,SINGLE,RANDOM,GENOMIC,not collected,3,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,NAR2008_028,male,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,2.58
SRR16894132,6,WGS,125,1628323000,PRJNA779096,SAMN23011710,Model organism or animal,749687884,CORNELL UNIVERSITY,2011-04-02,public,"fastq,sra",ncbi,ncbi.public,1.58,SRX13086783,Greenland,North America,Greenland: Atlantic Peace,0.185,Illumina HiSeq 2500,64.43 N 35.23 W,59,ATP2011_104_14247X191_6_se,SINGLE,RANDOM,GENOMIC,0.065,5,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ATP2011_104,male,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,1.915
SRR16894133,5,WGS,125,1407516500,PRJNA779096,SAMN23011816,Model organism or animal,655185023,CORNELL UNIVERSITY,2008-02-08,public,"fastq,sra",ncbi,ncbi.public,1.24,SRX13086782,Greenland,North America,"Greenland: Bredefjord\, Narsaq",0.0042,Illumina HiSeq 2500,not collected,54,NAR2008_042_14247X190_6_se,SINGLE,RANDOM,GENOMIC,0.0258,2,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,NAR2008_042,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,1.32
SRR16894134,not collected,WGS,125,676287125,PRJNA779096,SAMN23011762,Model organism or animal,332453308,CORNELL UNIVERSITY,2011-05-16,public,"fastq,sra",ncbi,ncbi.public,2.975,SRX13086781,Greenland,North America,"Greenland: 1B\, Itivdleq",0.31,Illumina HiSeq 2500,66.5 N 53.23 W,71,ITV2011_648_14247X19_1_se,SINGLE,RANDOM,GENOMIC,0.1,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ITV2011_648,male,AJ,SRP345309,10,not collected,not applicable,fin clips,4,3.64
SRR16894135,7,WGS,125,401572250,PRJNA779096,SAMN23011717,Model organism or animal,192710317,CORNELL UNIVERSITY,2011-04-03,public,"fastq,sra",ncbi,ncbi.public,4.035,SRX13086780,Greenland,North America,Greenland: Atlantic Peace,0.325,Illumina HiSeq 2500,64.38 N 35.27 W,78,ATP2011_126_14247X189_6_se,SINGLE,RANDOM,GENOMIC,0.415,4,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ATP2011_126,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,5.055
