prefix	lane_number	seq_id	sample_id	population	data_type
SRR16894172	7	55214	ITV2011_722	ITV2011	pe
SRR16894171	7	55216	QQL2011_888	QQL2011	pe
SRR16894170	7	55230	BUK2011_015	BUK2011	pe
SRR16894169	7	55236	ITV2011_782	ITV2011	pe
SRR16894168	7	55239	QQL2011_892	QQL2011	pe
SRR16894167	3	14247X100	PAA2011_824	PAA2011	se
SRR16894166	3	14247X101	IKE2011_032	IKE2011	se
SRR16894165	3	14247X103	ITV2011_674	ITV2011	se
SRR16894164	3	14247X104	PAA2011_826	PAA2011	se
SRR16894163	3	14247X107	ITV2011_676	ITV2011	se
SRR16894161	3	14247X108	PAA2011_854	PAA2011	se
SRR16894160	4	14247X109	KNG2011_399	KNG2011	se
SRR16894159	4	14247X111	UUM2010_084	UUM2010	se
SRR16894158	4	14247X112	KNG2011_401	KNG2011	se
SRR16894157	4	14247X114	UUM2010_054	UUM2010	se
SRR16894156	4	14247X115	KNG2011_385	KNG2011	se
SRR16894155	4	14247X116	KNG2011_405	KNG2011	se
SRR16894154	4	14247X120	KNG2011_387	KNG2011	se
SRR16894153	4	14247X121	KNG2011_407	KNG2011	se
SRR16894152	4	14247X122	UUM2010_069	UUM2010	se
SRR16894150	4	14247X124	KNG2011_391	KNG2011	se
SRR16894044	4	14247X125	KNG2011_411	KNG2011	se
SRR16894043	4	14247X127	KNG2011_393	KNG2011	se
SRR16894042	4	14247X128	ATP2011_123	ATP2011	se
SRR16894041	4	14247X129	KNG2011_397	KNG2011	se
SRR16894040	4	14247X130	ATP2011_124	ATP2011	se
SRR16894039	4	14247X131	ATP2011_139	ATP2011	se
SRR16894038	5	14247X145	KNG2011_415	KNG2011	se
SRR16894037	5	14247X146	UUM2010_085	UUM2010	se
SRR16894036	5	14247X147	KNG2011_417	KNG2011	se
SRR16894149	5	14247X148	UUM2010_087	UUM2010	se
SRR16894148	5	14247X149	KNG2011_421	KNG2011	se
SRR16894147	1	14247X15	ITV2011_646	ITV2011	se
SRR16894146	5	14247X150	UUM2010_095	UUM2010	se
SRR16894145	5	14247X151	KNG2011_423	KNG2011	se
SRR16894144	5	14247X152	KNG2011_427	KNG2011	se
SRR16894143	5	14247X153	KNG2011_429	KNG2011	se
SRR16894142	5	14247X154	KNG2011_431	KNG2011	se
SRR16894141	5	14247X172	ATP2011_127	ATP2011	se
SRR16894140	5	14247X177	ATP2011_129	ATP2011	se
SRR16894138	6	14247X182	UUM2010_026	UUM2010	se
SRR16894137	6	14247X184	ATP2011_118	ATP2011	se
SRR16894136	6	14247X187	UUM2010_030	UUM2010	se
SRR16894135	6	14247X189	ATP2011_126	ATP2011	se
SRR16894134	1	14247X19	ITV2011_648	ITV2011	se
SRR16894133	6	14247X190	NAR2008_042	NAR2008	se
SRR16894132	6	14247X191	ATP2011_104	ATP2011	se
SRR16894131	6	14247X192	NAR2008_028	NAR2008	se
SRR16894130	6	14247X194	UUM2010_055	UUM2010	se
SRR16894129	6	14247X195	NAR2008_043	NAR2008	se
SRR16894127	6	14247X198	NAR2008_029	NAR2008	se
SRR16894126	1	14247X2	BUK2011_008	BUK2011	se
SRR16894125	6	14247X200	UUM2010_064	UUM2010	se
SRR16894124	6	14247X201	NAR2008_047	NAR2008	se
SRR16894123	6	14247X203	UUM2010_001	UUM2010	se
SRR16894096	6	14247X204	NAR2008_044	NAR2008	se
SRR16894094	6	14247X208	UUM2010_003	UUM2010	se
SRR16894093	6	14247X209	NAR2008_050	NAR2008	se
SRR16894092	6	14247X211	NAR2008_035	NAR2008	se
SRR16894091	6	14247X213	UUM2010_011	UUM2010	se
SRR16894089	6	14247X214	NAR2008_051	NAR2008	se
SRR16894088	6	14247X215	ATP2011_117	ATP2011	se
SRR16894087	1	14247X22	ITV2011_652	ITV2011	se
SRR16894086	1	14247X225	QQL2011_842	QQL2011	se
SRR16894085	1	14247X226	QQL2011_844	QQL2011	se
SRR16894084	1	14247X228	QQL2011_852	QQL2011	se
SRR16894083	1	14247X232	QQL2011_846	QQL2011	se
SRR16894082	1	14247X26	ITV2011_658	ITV2011	se
SRR16894081	1	14247X30	ITV2011_660	ITV2011	se
SRR16894080	1	14247X32	BUK2011_005	BUK2011	se
SRR16894078	1	14247X36	ITV2011_630	ITV2011	se
SRR16894077	2	14247X37	QQL2011_828	QQL2011	se
SRR16894076	2	14247X39	QQL2011_832	QQL2011	se
SRR16894075	2	14247X40	QQL2011_852	QQL2011	se
SRR16894074	2	14247X41	QQL2011_836	QQL2011	se
SRR16894073	2	14247X43	QQL2011_838	QQL2011	se
SRR16894072	2	14247X45	QQL2011_840	QQL2011	se
SRR16894071	2	14247X47	QQL2011_842	QQL2011	se
SRR16894070	2	14247X49	QQL2011_844	QQL2011	se
SRR16894069	1	14247X5	ITV2011_636	ITV2011	se
SRR16894121	2	14247X55	IKE2011_986	IKE2011	se
SRR16894120	2	14247X59	IKE2011_998	IKE2011	se
SRR16894119	2	14247X61	QQL2011_846	QQL2011	se
SRR16894118	1	14247X7	BUK2011_009	BUK2011	se
SRR16894117	3	14247X75	ITV2011_678	ITV2011	se
SRR16894116	3	14247X76	NAR2008_032	NAR2008	se
SRR16894115	3	14247X77	QQL2011_894	QQL2011	se
SRR16894114	3	14247X80	ITV2011_682	ITV2011	se
SRR16894113	3	14247X81	NAR2008_034	NAR2008	se
SRR16894112	3	14247X82	QQL2011_896	QQL2011	se
SRR16894110	3	14247X85	ITV2011_686	ITV2011	se
SRR16894109	3	14247X86	NAR2008_036	NAR2008	se
SRR16894108	3	14247X88	IKE2011_000	IKE2011	se
SRR16894107	1	14247X9	ITV2011_642	ITV2011	se
SRR16894106	3	14247X91	ITV2011_690	ITV2011	se
SRR16894105	3	14247X93	IKE2011_002	IKE2011	se
SRR16894104	3	14247X97	IKE2011_006	IKE2011	se
